paragraph_idx,page,entity1_name,entity2_name,similarity,should_merge,confidence,reasoning
3,318,Etruscan civilization,Greek civilization,0.6666666666666667,False,0.9,"The two entities refer to distinct cultural groups: the Etruscan civilization and the Greek civilization are separate historical civilizations with different origins, histories, and roles. They are related (Greek civilization influenced Rome and others) but are not the same entity."
3,318,Hittite empire,Roman Empire,0.5,False,0.97,The Hittite Empire and the Roman Empire are distinct historical states that existed in different regions and periods with no identity overlap. They are related as ancient empires but are not the same entity and should not be merged.
4,318,Etruria,Etruscans,0.5555555555555556,False,0.91,"Etruria is a region/place in central Italy; Etruscans are the people who lived there. They are related but distinct: one is a geographic region, the other a collective people/culture/governing group. Not identical entities and should not be merged."
6,321,Etruscan,Etruscans,0.8888888888888888,True,0.9,Both entries clearly refer to the same historical group: the Etruscan people/culture. One entry names the culture (Etruscan) and the other names the people (Etruscans) with detailed attributes; these are not distinct entities but two forms of the same entity (culture/people).
6,321,Etruscans,Etruria,0.625,False,0.85,"The first is a people (Etruscans); the second is a region (Etruria) where that people lived. They are related but distinct types (collective people vs geographic region), so they should not be merged."
7,321,Greece,Greek,0.6666666666666667,False,0.92,"The two entities are related but not identical. 'Greece' is a geographic region, while 'Greek' refers to the culture/language/people associated with that region. The description for 'Greek' (culture from which the Etruscan alphabet was derived) describes a cultural/linguistic entity rather than the place itself. They should remain distinct to preserve type differences (place vs cultural entity)."
7,321,Romans,Romulus,0.5714285714285714,False,0.9,"'Romans' (a collective people of Rome) and 'Romulus' (a legendary individual founder) are different entity types: one is a collective/population, the other is a single person. They are related (Romulus is founder of the Romans/Rome) but not the same historical entity, so they should not be merged."
7,321,Roman republic,Roman Empire,0.5,False,0.9,"The Roman Republic and the Roman Empire are successive but distinct forms of the same polity (Rome) at different constitutional stages. They are related historically but not strictly identical entities: the Republic (a specific republican constitutional period lasting ~450 years) is distinct from the Imperial Roman Empire that followed and expanded territorially. The descriptions indicate different timeframes and political forms, so they should not be merged."
7,321,Romans,Rome,0.5,False,0.85,"Entity 1 (Romans) denotes the people/citizens of Rome/the Roman state. Entity 2 (Rome) denotes the city/place. They are related but not identical: one is a population/collective people, the other is a geographic/political place. The examples explicitly note that city vs people or city vs empire should not be merged. Therefore do not merge."
7,321,Romans,Remus,0.5,False,0.79,'Romans' refers to the collective people/citizens of Rome; 'Remus' is a specific individual (twin brother of Romulus). They are related (Remus is one of the legendary founders of Rome) but not the same entity. Therefore they should not be merged.
7,321,Europe,Rome,0.5,False,0.86,"The two entities are different: one is the continent/region ""Europe,"" the other is the city ""Rome."" Although the description for Rome calls it the ""cradle of Europe and Christianity,"" that indicates a relationship or role, not identity. They are distinct place entities (region vs city) and should not be merged."
7,321,Roman Mediterranean,Roman Empire,0.4736842105263158,False,0.96,"The two entries refer to different concepts: one is a geographic region enabled by Roman institutions (the 'Roman Mediterranean'), the other is the political entity/state (the Roman Empire). They are related and overlapping but not identical (region vs. state). Therefore they should not be merged."
9,322,Roman People,Roman Empire,0.6666666666666667,False,0.95,"These refer to different concepts: one is the Roman people/citizen body (a collective of people/sovereign actors), the other is the Roman Empire (a political state/imperial polity). They are related but not identical and should not be merged."
9,322,Roman Senate,Roman Empire,0.5833333333333333,False,0.92,"The Roman Senate (a legislative body/organization) is a governing institution within Roman state; the Roman Empire is the state/political entity. They are related but distinct: one is an institution, the other is the polity. Therefore they should not be merged."
9,322,Roman People,Roman republic,0.5714285714285714,False,0.9,"The two entities refer to different concepts: 'Roman People' denotes the citizen body/people of Rome (a social collective exercising sovereignty), while 'Roman republic' denotes the political state/institutional form that lasted ~450 years. They are related (the people acted through republican assemblies) but are not the same singular entity, so they should not be merged."
9,322,Greek city-states,Greek civilization,0.5555555555555556,False,0.9,"'Greek city-states' (collective political units like poleis) and 'Greek civilization' (broad cultural/civilizational entity) are related but not identical. City-states are components/manifestations within the broader Greek civilization, so they should not be merged."
9,322,Roman Senate,Roman republic,0.5,False,0.92,"The Roman Senate (a legislative body/organization) is a component institution within the Roman Republic (the state/political entity). They are related but not identical: one is an organ of government, the other is the state/political system that includes that organ. Therefore they should not be merged."
9,322,Roman Senate,Romans,0.5,False,0.89,"The Roman Senate is a specific political/legislative institution (an organization). ""Romans"" denotes the people of Rome (a population/ethnic collective). They are related but distinct: one is an institution, the other is the populace. They should not be merged."
9,322,Roman Senate,Roman Mediterranean,0.4736842105263158,False,0.92,The two entities refer to different types: one is an institution/organization (the Roman Senate) and the other is a geographic region (the Roman Mediterranean). They are related (the Mediterranean region was shaped by Rome) but are not the same historical entity and should not be merged.
9,322,Greek city-states,Greek influence,0.47058823529411764,False,0.81,"The two entities are related but not identical. ""Greek city-states"" refers to the political/military organization of independent poleis (a collective political entity), while ""Greek influence"" refers to the cultural impact or influence exerted by Greeks. One is a type of political/state entity; the other is an abstract cultural phenomenon. They should not be merged."
11,322,last kings,Latins,0.6,False,0.85,"The two entities refer to different concepts. 'Last kings' denotes the final kings (likely of Rome) replaced by consuls at end of 6th century BC — a reference to a specific set of monarchs/institution. 'Latins' are an ethnic/people group of Latium/Campania associated with Rome. They are distinct: one is a royal office/monarchy (collective rulers), the other an ethnic people. They are related historically but not identical."
11,322,Roman ruling élite,Roman republic,0.5,False,0.9,"The two referents are different: one is the Roman ruling elite (a social/political class of people), the other is the Roman Republic (the state/political system). They are related but not identical—one is a group within the polity, the other is the polity itself. Therefore they should not be merged."
11,322,Roman ruling élite,Roman Senate,0.5,False,0.83,The 'Roman ruling élite' refers broadly to the social/political elite class (those holding offices) while the 'Roman Senate' is a specific governing institution/organization composed of many of those elite individuals. They are related but not identical: one is a social collective (the elite) and the other is a formal political body (the Senate). Therefore they should not be merged.
13,323,Roman census,Roman Senate,0.6666666666666667,False,0.88,"The first entity is an event (the Roman census) while the second is an organization/collective entity (the Roman Senate). They are related aspects of Roman governance but are distinct: one is an administrative enumeration/census procedure, the other is the governing legislative body. Therefore they should not be merged."
13,323,early republic,Roman republic,0.6428571428571428,True,0.86,"Both mentions refer to the Roman Republic. ""early republic"" denotes the early period of the Roman Republic but is not a distinct entity separate from the Roman Republic as a political collective; they are the same state entity (one is a temporal subset)."
13,323,Roman census,Roman People,0.5833333333333333,False,0.82,The two entities are different types and concepts: one is an event/procedure (the Roman census) used to register/classify citizens; the other is the collective people of Rome (the Roman People) who exercised sovereignty. They are related (the census concerned the people) but not identical.
13,323,Roman census,Roman Empire,0.5,False,0.88,These are different kinds of entities: one is an event/procedure (the Roman census conducted in republican Rome to classify citizens) and the other is a political collective/state (the Roman Empire). They are related (the census was an institution within Roman political organization) but not identical.
13,323,Roman census,Roman Republic,0.5,False,0.72,The two referents are different: one is a recurring administrative event/procedure (the Roman census) conducted within the Roman state; the other is the Roman Republic as a political entity. They are related (the census was an institution of the Republic) but not identical.
13,323,Roman census,Romans,0.5,False,0.9,"The two entities refer to different kinds of things: 'Roman census' is a specific recurring administrative event/procedure in Republican Rome used to classify citizens, whereas 'Romans' is a collective people/ethnic/political group. They are related (Romans conducted or underwent the census) but not identical."
13,323,proletarii,praetors,0.5,False,0.95,"These are different kinds of collective entities: 'proletarii' denotes a social class of citizens (the poor who produced children as their contribution), whereas 'praetors' are an elected political/magisterial office in the Roman cursus honorum. They are distinct in type and function and not the same entity."
15,324,consuls,Two consuls,0.6363636363636364,True,0.9,"Both entries describe the same institutional office in early Republican Rome: the pair of annually elected chief magistrates who replaced the kings and ruled through the Senate. The differences are only phrasing and added attribute details (term length, role), not distinct entities."
